"","GEOID","insur_rate","medn_incm","educ_rate","PoC","EJStress","BrwnFl_500","BrwnFl_250","BrwnFl_1k"
"1","340010001001",0.874493927125506,0.152799388802445,0.263157894736842,0.907894736842105,0.56,7,3,13
"2","340010001002",0.876934414148858,0.199167203331187,0.18978102189781,0.66764922623434,0.64,7,2,7
"3","340010002001",0.800803930326038,0.142119431522274,0.267746913580247,0.841000446627959,0.44,2,1,6
"4","340010002002",0.939172749391727,0.19439922240311,0.262048192771084,0.785888077858881,0.48,1,1,6
"5","340010002003",0.960597826086957,0.422306310774757,0.551775147928994,0.210597826086957,0.48,1,1,2
"6","340010003001",0.856338028169014,0.235231059075764,0.209635416666667,0.945539906103286,0.64,4,2,12
"7","340010003002",0.696593001841621,0.166499334002664,0.0360205831903945,0.958563535911602,0.6,4,3,12
"8","340010003003",0.845614035087719,0.232727069091724,0.359486447931526,0.612865497076023,0.6,5,3,6
"9","340010004001",0.666947014297729,0.134663461346155,0.456702253855279,0.539949537426409,0.68,3,3,10
"10","340010004002",0.909541511771995,0.144879420482318,0.199643493761141,0.731102850061958,0.52,4,1,5
"11","340010004003",0.785803237858032,0.127999488002048,0.060320452403393,0.847447073474471,0.56,5,2,13
"12","340010005001",0.817351598173516,0.231211075155699,0.146825396825397,0.871004566210046,0.64,6,5,13
"13","340010005002",0.690212373037858,0.167903328386686,0.183139534883721,0.939058171745152,0.64,9,3,11
"14","340010011001",0.920751633986928,NA,0.102040816326531,0.943627450980392,0.6,5,2,14
"15","340010011002",0.909413854351687,NA,0.276859504132231,0.930728241563055,0.68,3,2,16
"16","340010012001",0.947725072604066,NA,0.0373692077727952,0.999031945788964,0.68,4,1,14
"17","340010012002",0.844367015098722,0.192855228579086,0.162200282087447,0.976771196283391,0.68,3,2,14
"18","340010012003",0.690322580645161,0.146775412898348,0.0434782608695652,0.819354838709677,0.76,8,4,16
"19","340010013001",0.953333333333333,0.200907196371215,0.368983957219251,0.917777777777778,0.6,3,2,8
"20","340010013002",0.911337209302326,0.18560725757097,0.289537712895377,0.962936046511628,0.68,10,7,20
"21","340010014001",0.848970251716247,0.0593597625609498,0.0345489443378119,0.979591836734694,0.6,8,5,10
"22","340010014002",0.930555555555556,0.285830856676573,0.217391304347826,0.72008547008547,0.64,5,4,10
"23","340010014003",0.832740213523132,0.0991516033935864,0.0540540540540541,0.974377224199288,0.6,6,4,12
"24","340010015001",0.854868913857678,0.0768196927212291,0.136762860727729,0.899812734082397,0.6,5,3,14
"25","340010015002",1,0.0755756976972092,0.193832599118943,0.928571428571429,0.6,3,2,13
"26","340010019001",0.954986760812004,0.190727237091052,0.208092485549133,0.842894969108561,0.44,3,2,5
"27","340010019002",0.913223140495868,0.113391546433814,0.0797413793103448,0.483471074380165,0.44,3,3,4
"28","340010023001",0.4875,0.167855328578686,0.185022026431718,0.950892857142857,0.64,8,5,15
"29","340010023002",0.800117924528302,0.167687329250683,0.229146692233941,0.884433962264151,0.68,10,7,15
"30","340010024001",0.562822719449225,NA,0,1,0.68,12,3,19
"31","340010024002",0.8421875,0.0938556245775017,0.2,0.4828125,0.6,7,6,18
"32","340010024003",1,NA,0.13125,0.795373665480427,0.64,10,5,17
"33","340010024004",0.882186616399623,NA,0.0862676056338028,0.898209236569274,0.68,5,2,12
"34","340010025001",0.97752808988764,0.166499334002664,0.213114754098361,0.972712680577849,0.6,4,3,12
"35","340010025002",0.960295475530933,0.102083591665633,0.108695652173913,0.833795013850416,0.52,3,2,9
"36","340010025003",1,0.197939208243167,0.423948220064725,0.841423948220065,0.44,3,1,7
"37","340010025004",0.952787258248009,0.0841836632653469,0.187137891077636,0.737201365187713,0.52,4,2,8
"38","340010101011",0.954802259887006,0.591497634009464,0.533239038189533,0.122033898305085,0.16,0,0,0
"39","340010101012",1,0.422854308582766,0.470731707317073,0.254437869822485,0.28,0,0,0
